,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
65,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
66,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
67,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
68,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
69,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
70,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
71,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
72,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
73,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
74,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
75,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
76,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
77,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
78,Avenatti,Biden,Bloomberg,Booker,Brown,Buttigieg,Castro,Clinton,Cruz,Cuban,Cuomo,DJohnson,Gabbard,Gillibrand,Gowdy,Harris,I_Trump,Kaine,Kasich,Klobuchar,ORourke,Obama,Other,Pence,Rubio,Ryan,Sanders,Trump,Warren,Winfrey,Yang,Zuckerberg
